o,d,tot,dl,share
ORD,SLC,67,0.0,0.0
ORD,SLN,93,0.0,0.0
ORD,SPI,20,0.0,0.0
ORD,SRQ,2,0.0,0.0
ORD,STL,153,0.0,0.0
ORD,SUN,106,0.0,0.0
ORD,SUX,93,0.0,0.0
ORD,SYR,34,0.0,0.0
ORD,TUL,251,0.0,0.0
ORD,TUS,135,0.0,0.0
ORD,TVC,190,0.0,0.0
ORD,TYS,155,0.0,0.0
ORD,XNA,57,0.0,0.0
ORF,DTW,56,56.0,1.0
ORF,MSP,1,1.0,1.0
ORF,ORD,36,0.0,0.0
OTH,DEN,31,0.0,0.0
OTH,SFO,66,0.0,0.0
PDX,BOI,134,0.0,0.0
PDX,BUR,4,0.0,0.0
PDX,BZN,3,0.0,0.0
PDX,DEN,2,0.0,0.0
PDX,EUG,78,0.0,0.0
PDX,FAT,165,0.0,0.0
PDX,FCA,6,0.0,0.0
PDX,GEG,111,0.0,0.0
PDX,LAX,142,0.0,0.0
PDX,MFR,25,0.0,0.0
PDX,ONT,52,0.0,0.0
PDX,PHX,1,0.0,0.0
PDX,PSP,72,0.0,0.0
PDX,RDM,31,0.0,0.0
PDX,RNO,76,0.0,0.0
PDX,SBP,5,0.0,0.0
PDX,SEA,811,552.0,0.6806411837237978
PDX,SFO,114,0.0,0.0
PDX,SJC,113,0.0,0.0
PDX,SLC,180,0.0,0.0
PDX,SMF,148,0.0,0.0
PDX,STS,65,0.0,0.0
PDX,TUS,96,0.0,0.0
PHL,DTW,22,22.0,1.0
PHX,ABQ,134,0.0,0.0
PHX,ASE,62,0.0,0.0
PHX,BFL,120,0.0,0.0
PHX,BOI,262,0.0,0.0
PHX,BUR,183,0.0,0.0
PHX,CID,158,0.0,0.0
PHX,DRO,233,0.0,0.0
PHX,DSM,35,0.0,0.0
PHX,EGE,67,0.0,0.0
PHX,ELP,214,0.0,0.0
PHX,FAT,183,0.0,0.0
PHX,FLG,258,0.0,0.0
PHX,FSD,61,0.0,0.0
PHX,GJT,240,0.0,0.0
PHX,IAH,48,0.0,0.0
PHX,ICT,122,0.0,0.0
PHX,IDA,62,0.0,0.0
PHX,LAX,542,404.0,0.7453874538745388
PHX,LBB,36,0.0,0.0
PHX,MAF,93,0.0,0.0
PHX,MCI,33,0.0,0.0
PHX,MEM,10,0.0,0.0
PHX,MFR,132,0.0,0.0
PHX,MRY,227,0.0,0.0
PHX,OKC,165,0.0,0.0
PHX,OMA,18,0.0,0.0
PHX,ONT,54,0.0,0.0
PHX,PDX,1,0.0,0.0
PHX,PSC,184,0.0,0.0
PHX,PSP,169,0.0,0.0
PHX,PVU,88,0.0,0.0
PHX,RDM,1,0.0,0.0
PHX,RNO,18,0.0,0.0
PHX,SAF,106,0.0,0.0
PHX,SAN,41,0.0,0.0
PHX,SBA,110,0.0,0.0
PHX,SBP,118,0.0,0.0
PHX,SEA,250,0.0,0.0
PHX,SFO,112,0.0,0.0
PHX,SGU,212,0.0,0.0
PHX,SJC,61,0.0,0.0
PHX,SLC,260,9.0,0.03461538461538462
PHX,SMF,85,0.0,0.0
PHX,SMX,62,0.0,0.0
PHX,STL,26,0.0,0.0
PHX,STS,34,0.0,0.0
PHX,SUN,23,0.0,0.0
PHX,TUL,123,0.0,0.0
PHX,TUS,588,0.0,0.0
PHX,YUM,282,0.0,0.0
PIA,DEN,62,0.0,0.0
PIA,ORD,341,0.0,0.0
PIB,IAH,160,0.0,0.0
PIH,SLC,129,129.0,1.0
PIR,DEN,53,0.0,0.0
PIT,DTW,175,175.0,1.0
PIT,IAH,3,0.0,0.0
PIT,LGA,27,27.0,1.0
PIT,MSP,38,38.0,1.0
PIT,ORD,62,0.0,0.0
PLN,DTW,169,169.0,1.0
PLN,ORD,64,0.0,0.0
PNS,IAH,54,0.0,0.0
PRC,DEN,124,0.0,0.0
PRC,LAX,93,0.0,0.0
PSC,BUR,31,0.0,0.0
PSC,DEN,124,0.0,0.0
PSC,LAX,83,0.0,0.0
PSC,MSP,53,53.0,1.0
PSC,PHX,184,0.0,0.0
PSC,SEA,387,269.0,0.6950904392764858
PSC,SFO,172,0.0,0.0
PSC,SLC,239,239.0,1.0
PSP,AUS,31,31.0,1.0
PSP,DEN,147,0.0,0.0
PSP,IAH,8,0.0,0.0
PSP,LAX,84,0.0,0.0
PSP,PDX,72,0.0,0.0
PSP,PHX,170,0.0,0.0
PSP,SEA,80,0.0,0.0
PSP,SFO,504,0.0,0.0
PSP,SLC,222,222.0,1.0
PSP,STS,23,0.0,0.0
PVD,DTW,135,135.0,1.0
PVD,ORD,86,0.0,0.0
PVU,DFW,248,0.0,0.0
PVU,PHX,88,0.0,0.0
PWM,DTW,42,42.0,1.0
PWM,IAH,4,0.0,0.0
PWM,ORD,61,0.0,0.0
RAP,DEN,541,0.0,0.0
RAP,MSP,27,27.0,1.0
RAP,ORD,41,0.0,0.0
RDD,DEN,62,0.0,0.0
RDD,LAX,92,0.0,0.0
RDD,SEA,42,0.0,0.0
RDD,SFO,257,0.0,0.0
RDM,BUR,31,0.0,0.0
RDM,LAX,93,0.0,0.0
RDM,PDX,31,0.0,0.0
RDM,PHX,1,0.0,0.0
RDM,SAN,31,0.0,0.0
RDM,SEA,328,259.0,0.7896341463414634
RDM,SFO,175,0.0,0.0
RDM,SLC,186,186.0,1.0
RDU,AUS,53,53.0,1.0
RDU,CVG,26,26.0,1.0
RDU,JFK,4,4.0,1.0
RDU,LGA,28,28.0,1.0
RDU,MSP,2,2.0,1.0
RHI,MSP,184,184.0,1.0
RHI,ORD,62,0.0,0.0
RIC,CLT,15,0.0,0.0
RIC,DTW,150,150.0,1.0
RIC,ORD,163,0.0,0.0
RIW,CPR,1,0.0,0.0
RIW,DEN,186,0.0,0.0
RKS,DEN,186,0.0,0.0
RNO,LAX,558,275.0,0.492831541218638
RNO,PDX,76,0.0,0.0
RNO,PHX,19,0.0,0.0
RNO,SAN,43,0.0,0.0
RNO,SEA,31,0.0,0.0
RNO,SFO,293,0.0,0.0
RNO,SLC,115,115.0,1.0
ROA,ORD,163,0.0,0.0
ROC,DTW,114,114.0,1.0
ROC,LGA,27,27.0,1.0
ROC,ORD,27,0.0,0.0
ROW,DFW,235,0.0,0.0
RST,MSP,46,46.0,1.0
RST,ORD,139,0.0,0.0
SAF,DEN,375,0.0,0.0
SAF,DFW,402,0.0,0.0
SAF,IAH,4,0.0,0.0
SAF,LAX,31,0.0,0.0
SAF,ORD,5,0.0,0.0
SAF,PHX,106,0.0,0.0
SAN,AUS,210,0.0,0.0
SAN,BOI,128,0.0,0.0
SAN,BZN,24,0.0,0.0
SAN,DEN,36,0.0,0.0
SAN,EGE,29,0.0,0.0
SAN,EUG,57,0.0,0.0
SAN,FAT,239,0.0,0.0
SAN,FCA,18,0.0,0.0
SAN,HDN,26,0.0,0.0
SAN,JAC,44,0.0,0.0
SAN,LAS,466,213.0,0.4570815450643777
SAN,LAX,579,314.0,0.542314335060449
SAN,MRY,135,0.0,0.0
SAN,MSO,4,0.0,0.0
SAN,PHX,40,0.0,0.0
SAN,RDM,31,0.0,0.0
SAN,RNO,41,0.0,0.0
SAN,SBP,184,0.0,0.0
SAN,SEA,2,0.0,0.0
SAN,SFO,417,0.0,0.0
SAN,SJC,277,0.0,0.0
SAN,SLC,126,9.0,0.07142857142857142
SAN,SMF,299,0.0,0.0
SAN,STS,168,0.0,0.0
SAT,DEN,5,0.0,0.0
SAT,DFW,81,0.0,0.0
SAT,IAH,4,0.0,0.0
SAT,LAX,155,0.0,0.0
SAT,ORD,16,0.0,0.0
SAT,SFO,6,0.0,0.0
SAV,DEN,54,0.0,0.0
SAV,DTW,33,33.0,1.0
SAV,ORD,65,0.0,0.0
SBA,LAX,179,0.0,0.0
SBA,PHX,110,0.0,0.0
SBA,SEA,31,0.0,0.0
SBA,SFO,88,0.0,0.0
SBA,SLC,150,150.0,1.0
SBN,ATL,262,262.0,1.0
SBN,DFW,243,0.0,0.0
SBN,DTW,151,151.0,1.0
SBN,MSP,93,93.0,1.0
SBN,ORD,615,0.0,0.0
SBP,DEN,93,0.0,0.0
SBP,LAS,48,0.0,0.0
SBP,LAX,176,0.0,0.0
SBP,PDX,5,0.0,0.0
SBP,PHX,118,0.0,0.0
SBP,SAN,184,0.0,0.0
SBP,SFO,270,0.0,0.0
SCE,ORD,57,0.0,0.0
SDF,DTW,132,132.0,1.0
SDF,LGA,27,27.0,1.0
SDF,MSP,133,133.0,1.0
SDF,ORD,172,0.0,0.0
SEA,BLI,335,0.0,0.0
SEA,BOI,797,594.0,0.7452948557089084
SEA,BZN,182,160.0,0.8791208791208791
SEA,DEN,106,106.0,1.0
SEA,EGE,26,0.0,0.0
SEA,EUG,345,259.0,0.7507246376811594
SEA,FAT,159,0.0,0.0
SEA,FCA,6,0.0,0.0
SEA,GEG,809,663.0,0.8195302843016069
SEA,GTF,51,0.0,0.0
SEA,HDN,13,0.0,0.0
SEA,HLN,26,0.0,0.0
SEA,IDA,11,0.0,0.0
SEA,JAC,77,0.0,0.0
SEA,LAS,15,0.0,0.0
SEA,LAX,300,0.0,0.0
SEA,LWS,93,93.0,1.0
SEA,MFR,277,259.0,0.9350180505415162
SEA,MRY,14,0.0,0.0
SEA,OAK,41,0.0,0.0
SEA,ONT,249,249.0,1.0
SEA,PDX,773,553.0,0.7153945666235446
SEA,PHX,250,0.0,0.0
SEA,PSC,385,269.0,0.6987012987012987
SEA,PSP,79,0.0,0.0
SEA,RDD,42,0.0,0.0
SEA,RDM,328,259.0,0.7896341463414634
SEA,RNO,32,0.0,0.0
SEA,SAN,3,0.0,0.0
SEA,SBA,31,0.0,0.0
SEA,SFO,262,191.0,0.7290076335877863
SEA,SJC,357,353.0,0.988795518207283
SEA,SLC,99,0.0,0.0
SEA,SMF,468,374.0,0.7991452991452992
SEA,SNA,76,76.0,1.0
SEA,STS,51,0.0,0.0
SEA,SUN,9,9.0,1.0
SEA,TUS,62,31.0,0.5
SFO,ABQ,162,0.0,0.0
SFO,ACV,301,0.0,0.0
SFO,ASE,163,0.0,0.0
SFO,AUS,6,0.0,0.0
SFO,BFL,156,0.0,0.0
SFO,BIH,82,0.0,0.0
SFO,BOI,344,0.0,0.0
SFO,BUR,364,0.0,0.0
SFO,BZN,3,0.0,0.0
SFO,DFW,4,0.0,0.0
SFO,EGE,63,0.0,0.0
SFO,EUG,84,0.0,0.0
SFO,FAT,299,0.0,0.0
SFO,FCA,67,0.0,0.0
SFO,GEG,189,0.0,0.0
SFO,HDN,12,0.0,0.0
SFO,JAC,34,0.0,0.0
SFO,LAS,40,0.0,0.0
SFO,LAX,579,0.0,0.0
SFO,MCI,98,0.0,0.0
SFO,MFR,150,0.0,0.0
SFO,MRY,164,0.0,0.0
SFO,MSO,40,0.0,0.0
SFO,MSP,94,0.0,0.0
SFO,MTJ,24,0.0,0.0
SFO,OMA,97,0.0,0.0
SFO,ONT,58,0.0,0.0
SFO,OTH,66,0.0,0.0
SFO,PDX,115,0.0,0.0
SFO,PHX,112,0.0,0.0
SFO,PSC,172,0.0,0.0
SFO,PSP,504,0.0,0.0
SFO,RDD,257,0.0,0.0
SFO,RDM,175,0.0,0.0
SFO,RNO,291,0.0,0.0
SFO,SAN,416,0.0,0.0
SFO,SAT,6,0.0,0.0
SFO,SBA,86,0.0,0.0
SFO,SBP,270,0.0,0.0
SFO,SEA,262,191.0,0.7290076335877863
SFO,SLC,293,4.0,0.013651877133105802
SFO,SMF,316,0.0,0.0
SFO,SNA,751,0.0,0.0
SFO,STL,42,0.0,0.0
SFO,SUN,120,0.0,0.0
SFO,TUS,229,0.0,0.0
SGF,ATL,65,65.0,1.0
SGF,DEN,310,0.0,0.0
SGF,IAH,119,0.0,0.0
SGF,ORD,67,0.0,0.0
SGU,DEN,268,0.0,0.0
SGU,DFW,155,0.0,0.0
SGU,LAX,92,0.0,0.0
SGU,PHX,212,0.0,0.0
SGU,SLC,348,348.0,1.0
SHR,DEN,186,0.0,0.0
SHV,ATL,248,248.0,1.0
SHV,CLT,91,0.0,0.0
SHV,DEN,93,0.0,0.0
SHV,DFW,270,0.0,0.0
SHV,IAH,259,0.0,0.0
SJC,BOI,80,0.0,0.0
SJC,BUR,2,0.0,0.0
SJC,LAS,49,42.0,0.8571428571428571
SJC,LAX,628,549.0,0.8742038216560509
SJC,PDX,113,0.0,0.0
SJC,PHX,61,0.0,0.0
SJC,SAN,277,0.0,0.0
SJC,SEA,357,353.0,0.988795518207283
SJC,SLC,82,82.0,1.0
SJC,SNA,2,0.0,0.0
SJT,DFW,278,0.0,0.0
SLC,ABQ,293,293.0,1.0
SLC,AUS,32,32.0,1.0
SLC,BIL,173,173.0,1.0
SLC,BOI,99,99.0,1.0
SLC,BTM,90,90.0,1.0
SLC,BUR,214,214.0,1.0
SLC,BZN,170,170.0,1.0
SLC,CDC,160,160.0,1.0
SLC,COS,148,148.0,1.0
SLC,DEN,291,0.0,0.0
SLC,EKO,128,128.0,1.0
SLC,EUG,186,186.0,1.0
SLC,FAT,314,314.0,1.0
SLC,FCA,201,201.0,1.0
SLC,GEG,169,169.0,1.0
SLC,GJT,140,140.0,1.0
SLC,GTF,262,262.0,1.0
SLC,HLN,184,184.0,1.0
SLC,IAH,18,0.0,0.0
SLC,IDA,197,197.0,1.0
SLC,JAC,138,138.0,1.0
SLC,LAS,3,3.0,1.0
SLC,LAX,233,0.0,0.0
SLC,LGB,159,159.0,1.0
SLC,LIT,31,31.0,1.0
SLC,LWS,93,93.0,1.0
SLC,MFR,186,186.0,1.0
SLC,MKE,8,8.0,1.0
SLC,MSO,166,166.0,1.0
SLC,OAK,233,233.0,1.0
SLC,OKC,177,177.0,1.0
SLC,OMA,177,177.0,1.0
SLC,ONT,59,59.0,1.0
SLC,ORD,69,0.0,0.0
SLC,PDX,181,1.0,0.0055248618784530384
SLC,PHX,262,9.0,0.03435114503816794
SLC,PIH,128,128.0,1.0
SLC,PSC,239,239.0,1.0
SLC,PSP,222,222.0,1.0
SLC,RDM,186,186.0,1.0
SLC,RNO,115,115.0,1.0
SLC,SAN,125,9.0,0.072
SLC,SBA,150,150.0,1.0
SLC,SEA,99,0.0,0.0
SLC,SFO,291,4.0,0.013745704467353952
SLC,SGU,348,348.0,1.0
SLC,SJC,84,84.0,1.0
SLC,SMF,4,4.0,1.0
SLC,SNA,23,23.0,1.0
SLC,SUN,277,277.0,1.0
SLC,TUL,150,150.0,1.0
SLC,TUS,276,276.0,1.0
SLC,TWF,184,184.0,1.0
SLC,WYS,36,36.0,1.0
SLC,XNA,61,61.0,1.0
SLN,DEN,93,0.0,0.0
SLN,IAH,61,0.0,0.0
SLN,ORD,92,0.0,0.0
SMF,BOI,15,0.0,0.0
SMF,LAS,170,170.0,1.0
SMF,LAX,844,470.0,0.556872037914692
SMF,PDX,148,0.0,0.0
SMF,PHX,85,0.0,0.0
SMF,SAN,299,0.0,0.0
SMF,SEA,468,374.0,0.7991452991452992
SMF,SFO,316,0.0,0.0
SMF,SLC,4,4.0,1.0
SMF,TUS,26,0.0,0.0
SMX,PHX,62,0.0,0.0
SNA,LAS,209,209.0,1.0
SNA,SEA,76,76.0,1.0
SNA,SFO,753,0.0,0.0
SNA,SLC,23,23.0,1.0
SNA,STS,170,0.0,0.0
SNA,TUS,62,0.0,0.0
SPI,ORD,20,0.0,0.0
SPS,DFW,111,0.0,0.0
SRQ,IAH,2,0.0,0.0
SRQ,ORD,2,0.0,0.0
STL,DEN,31,0.0,0.0
STL,DFW,39,0.0,0.0
STL,DTW,43,43.0,1.0
STL,IAH,23,0.0,0.0
STL,LAX,62,0.0,0.0
STL,MSP,86,86.0,1.0
STL,ORD,153,0.0,0.0
STL,PHX,26,0.0,0.0
STL,SFO,42,0.0,0.0
STS,BUR,85,0.0,0.0
STS,LAS,49,0.0,0.0
STS,LAX,161,0.0,0.0
STS,PDX,65,0.0,0.0
STS,PHX,34,0.0,0.0
STS,PSP,23,0.0,0.0
STS,SAN,168,0.0,0.0
STS,SEA,51,0.0,0.0
STS,SNA,170,0.0,0.0
SUN,DEN,186,0.0,0.0
SUN,LAX,143,9.0,0.06293706293706294
SUN,ORD,106,0.0,0.0
SUN,PHX,23,0.0,0.0
SUN,SEA,9,9.0,1.0
SUN,SFO,118,0.0,0.0
SUN,SLC,277,277.0,1.0
SUX,DEN,119,0.0,0.0
SUX,ORD,93,0.0,0.0
SWO,DFW,124,0.0,0.0
SYR,DTW,107,107.0,1.0
SYR,MSP,4,4.0,1.0
SYR,ORD,33,0.0,0.0
TLH,DFW,4,0.0,0.0
TRI,ATL,28,28.0,1.0
TUL,DEN,302,0.0,0.0
TUL,DFW,39,0.0,0.0
TUL,IAH,143,0.0,0.0
TUL,LAX,87,0.0,0.0
TUL,ORD,253,0.0,0.0
TUL,PHX,122,0.0,0.0
TUL,SLC,150,150.0,1.0
TUS,DEN,167,0.0,0.0
TUS,IAH,29,0.0,0.0
TUS,LAX,541,249.0,0.4602587800369686
TUS,ORD,134,0.0,0.0
TUS,PDX,96,0.0,0.0
TUS,PHX,588,0.0,0.0
TUS,SEA,62,31.0,0.5
TUS,SFO,229,0.0,0.0
TUS,SLC,276,276.0,1.0
TUS,SMF,26,0.0,0.0
TUS,SNA,62,0.0,0.0
TVC,DTW,173,173.0,1.0
TVC,IAH,31,0.0,0.0
TVC,MSP,58,58.0,1.0
TVC,ORD,190,0.0,0.0
TWF,SLC,184,184.0,1.0
TXK,DFW,62,0.0,0.0
TYR,DFW,186,0.0,0.0
TYS,DEN,148,0.0,0.0
TYS,DFW,4,0.0,0.0
TYS,ORD,156,0.0,0.0
VCT,IAH,165,0.0,0.0
WYS,DEN,36,0.0,0.0
WYS,SLC,36,36.0,1.0
XNA,ATL,119,119.0,1.0
XNA,DEN,185,0.0,0.0
XNA,DFW,11,0.0,0.0
XNA,IAH,22,0.0,0.0
XNA,LAX,93,0.0,0.0
XNA,MSP,25,25.0,1.0
XNA,ORD,58,0.0,0.0
XNA,SLC,61,61.0,1.0
XWA,DEN,361,0.0,0.0
XWA,MSP,217,217.0,1.0
YUM,DFW,68,0.0,0.0
YUM,PHX,282,0.0,0.0
